,Unnamed: 0.1,Unnamed: 0,French,English
0,0,0,partie,part
1,1,1,histoire,history
2,2,2,chercher,search
3,4,5,pensais,thought
4,5,6,aide,help
5,6,7,demande,request
6,7,8,genre,kind
7,9,10,frère,brother
8,10,11,laisser,let
9,11,12,car,because
10,13,14,aucun,no
11,14,15,laisse,leash
12,15,16,eux,them
13,16,17,ville,city
14,17,18,chaque,each
15,18,19,parlé,speak
16,19,20,arrivé,come
17,21,22,bébé,baby
18,22,24,heures,hours
19,23,25,vont,will
20,24,26,pendant,while
21,25,27,revoir,meet again
22,26,29,place,square
23,27,30,parle,speak
24,28,31,compris,understood
25,29,32,savais,knew
26,30,33,étaient,were
27,31,34,attention,Warning
28,32,35,voici,here is
29,33,36,pourrais,could
30,34,37,affaire,case
31,35,38,donner,give
32,36,39,type,type
33,37,40,leurs,their
34,39,42,train,train
35,40,43,corps,body
36,41,44,endroit,place
37,42,45,yeux,eyes
38,43,46,façon,way
39,44,47,écoute,listen
40,45,48,dont,whose
41,46,49,trouve,find
42,47,50,premier,first
43,48,51,perdu,lost
44,49,52,main,hand
45,50,53,première,first
46,51,54,côté,side
47,52,55,pouvoir,power
48,53,56,vieux,old
49,54,57,sois,be
50,55,58,tiens,here
51,56,59,matin,morning
52,57,60,tellement,so much
53,58,61,enfant,child
54,59,62,point,point
55,60,63,venu,came
56,61,64,suite,after
57,62,65,pardon,sorry
58,63,66,venez,come
59,64,67,devant,in front of
60,65,68,vers,towards
61,66,69,minutes,minutes
62,67,70,demandé,request
63,68,71,chambre,bedroom
64,69,72,mis,placed
65,70,73,belle,beautiful
66,71,74,droit,law
67,72,75,aimerais,would like to
68,73,76,aujourd'hui,today
69,74,77,mari,husband
70,76,79,enfin,finally
71,77,80,espère,hope
72,78,81,eau,water
73,79,82,attendez,Wait
74,80,83,parti,left
75,81,84,nouvelle,new
76,82,85,boulot,job
77,83,86,arrêter,Stop
78,84,87,dirait,would say
79,85,88,compte,account
80,86,89,donne,given
81,87,90,loin,far
82,88,91,fin,end
83,89,92,croire,believe
84,90,93,chérie,sweetheart
85,91,94,gros,large
86,92,95,plutôt,rather
87,93,96,aura,will have
88,95,98,jouer,to play
89,96,99,bureau,office
